smiles,carcino,dili,genotox
C=CN1CCCC1=O,1.0,,
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1.0,1.0,1.0
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,1.0,,
Nc1nnc(-c2ccc([N+](=O)[O-])o2)o1,1.0,,
Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,1.0,,
O=C1CCc2ccccc2O1,1.0,,0.0
Cc1cc(=O)n(-c2ccccc2)n1C,1.0,,
Cn1c(N)nc2ncc(-c3ccccc3)cc21,1.0,,1.0
O=NN1CC(=O)NC1=O,1.0,,
NCC1(CC(=O)O)CCCCC1,1.0,,0.0
O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21,1.0,,
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,1.0,,0.0
COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,1.0,1.0,0.0
CC(C)CCCC(C)C1CCC2C3CC=C4CC(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)CCC4(C)C3CCC12C,1.0,,
COc1cc2c(c3c1c(=O)c1ccccc1n3C)C=CC(C)(C)O2,1.0,,
Nc1nc(=S)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,1.0,,
C1COCCO1,1.0,,1.0
Cc1cc(C)nc(-c2ccc([N+](=O)[O-])o2)n1,1.0,,
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,1.0,,
COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,1.0,,
CN(C)CNc1nnc(C=Cc2ccc([N+](=O)[O-])o2)o1,1.0,,
O=NN1CCOC1,1.0,,
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1.0,1.0,
O=NN1CCCCCCC1,1.0,,
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,1.0,0.0,0.0
N#CSCc1ccccc1,0.0,,
CCC(C(=O)NC(N)=O)c1ccccc1,0.0,,
CN(N=O)c1ccc([N+](=O)[O-])cc1,0.0,,
C=CCOc1ccc(CC(=O)O)cc1Cl,0.0,1.0,
CCCCCCOc1cc(C)c(O)c(C)c1C,0.0,,
O=[N+]([O-])c1ccccc1Cl,0.0,,
CC(C)(C)c1cc(O)ccc1O,0.0,,0.0
COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,0.0,,
COc1ccc(N)cc1,0.0,,
CCCCCCCCCc1ccc(OCCOCCO)cc1,0.0,,
CC(=O)Oc1ccccc1C(=O)O,0.0,,0.0
Nc1ccc(N)cc1,0.0,,0.0
