stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,,0.0,0.0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,,1.0,
CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,0.0
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,0.0,,
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,,1.0,
Nc1ccc(Nc2ccccc2)cc1,Nc1ccc(Nc2ccccc2)cc1,0.0,,
CCCCCCOc1cc(C)c(O)c(C)c1C,CCCCCCOc1cc(C)c(O)c(C)c1C,0.0,,
CCCCCCCC[S+]([O-])C(C)Cc1ccc2c(c1)OCO2,CCCCCCCC[S+]([O-])C(C)Cc1ccc2c(c1)OCO2,0.0,,
CNC(=O)CC(C)=O,CNC(=O)CC(C)=O,,,0.0
Cc1ccc(NN=C2C(=O)C=Cc3ccccc32)c([N+](=O)[O-])c1,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1.0,,
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,1.0,,0.0
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,,0.0,0.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.0,1.0,
