草药名称,成分集合,靶点集合,特征集合,毒性标签
青娘子,C0245,T02O3F;T05OGW;T48UT8;T52UTG;T64UH1;T67KTV;T71BDH;T73S71;T80O6V;T88AJI;T93SFQ;T95IYZ;T99EYH,0;15;16;43,"0.0,0.0,0.0,1.0,0.0"
苦木,C0041;C0202;C0377,T01QLH;T02GD4;T04H8Y;T04MBA;T04WT7;T06Q1R;T06RMZ;T06VX0;T09H2Z;T11BI7;T12RJE;T13I7C;T16A2X;T20JZ2;T20RA0;T21Q0D;T23VMI;T24C0P;T25NSJ;T26EZU;T27U96;T29JZ3;T29MD1;T30AEN;T30VNV;T33OPP;T37ADS;T37SV3;T40DIM;T42PUG;T44EUX;T47C6A;T47H3O;T49TDM;T50WOV;T52CKD;T53AOE;T54SZZ;T54VET;T57HGP;T58FWN;T58J2Y;T63BQU;T64BTV;T64LKA;T68SE0;T69F5W;T71BDH;T71K92;T74QXI;T75NEV;T76PKX;T77TY2;T78O6C;T79WXA;T80OJF;T80TUC;T81I4T;T82JWE;T83DDX;T84CEG;T84WE9;T85U8U;T87QUW;T88AJI;T88TDZ;T89L4V;T92BZ2;T92LK2;T93SFQ;T95K0K;T96OOK,0;1;4;11;15;65;177;273,"0.0,0.0,0.0,1.0,0.0"
天仙子,C0073;C0206;C0478;C0891;C0914;C0918;C1187;C1203,T00CXT;T00KKS;T01QLH;T02QBS;T02WMA;T04TWI;T04UTZ;T05PKX;T05RAA;T05WU9;T06ADX;T06IYF;T06PVX;T06RMZ;T07NML;T07TMB;T08Q7W;T08SJX;T09H2Z;T10HL8;T10ICM;T10S5F;T11BI7;T11ZYR;T13KGH;T14LSK;T16UZ4;T18CUI;T20JZ2;T20TPU;T21DZX;T21S10;T22H8P;T22I6G;T22IMH;T22OPB;T23P74;T23VMI;T24LXT;T25H22;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LTU;T30L86;T31MUM;T31U13;T32PI2;T32R5L;T33OPP;T35QZO;T36SOV;T37VLU;T38BR0;T38J3Y;T38OQ4;T39RV3;T40DIM;T40JZG;T40XWM;T41TXS;T42D4V;T42EAZ;T42PUG;T42XY2;T44LWL;T45G32;T46K2X;T46YMA;T48DAP;T49ORJ;T50GQE;T50V79;T52RGZ;T54CIF;T54VQA;T54X6V;T55IBP;T56TXY;T57HGP;T58J2Y;T60UPF;T62QDU;T62USB;T63BQU;T63GUB;T64UH1;T64W2K;T64X48;T65S3S;T66S13;T68BGR;T68HNO;T68SE0;T69NG6;T69RXK;T71BDH;T71K92;T74D4Y;T74ETU;T74I49;T75H3W;T75HMM;T78ILO;T79KQO;T79WXA;T80OJF;T80TUC;T81I4T;T82ALJ;T82JWE;T83SXS;T83YZD;T84P70;T85AXP;T85U8U;T86J48;T86MX7;T86ROZ;T86UXL;T87AXU;T87WMV;T88AJI;T88B8X;T88LSZ;T88TDZ;T89L4V;T90ORW;T91OUC;T91T8I;T92BZ2;T92UBJ;T93R42;T93WZG;T94VM4;T95K8Q;T96G89;T98FWP;T99XQ3,3;8;10;11;20;22,"0.0,0.0,0.0,1.0,0.0"
苦参,C0063;C0075;C0083;C0101;C0118;C0160;C0169;C0198;C0199;C0202;C0219;C0228;C0352;C0377;C0392;C0486;C0528;C0529;C0627;C0646;C0650;C0669;C0674;C0811;C0838;C0839;C0914;C0923;C0929;C1178;C1188;C1208;C1276,T00CXT;T00EP2;T00F43;T00H7Q;T00KKS;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02IOG;T02M5I;T02QBS;T02WMA;T03CZ8;T03G09;T03VS9;T03YAI;T04A2Q;T04H8Y;T04HTN;T04HXV;T04TWI;T04UTZ;T04WT7;T05O6O;T05PKX;T05RAA;T05TS9;T05WU9;T05WWN;T06ADX;T06IYF;T06MQM;T06PVX;T06Q1R;T06RMZ;T06VX0;T07TMB;T07TRP;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09HVO;T09INZ;T09KPZ;T10HL8;T10ICM;T10S5F;T11BI7;T12BGL;T12EWD;T12PIB;T12T4H;T12WTT;T13I7C;T13KGH;T14DX3;T14ENF;T14JZK;T14LSK;T15JRW;T15RPU;T16A2X;T16CFE;T16MRU;T16OQ5;T16S8T;T16UZ4;T17CNB;T17CZC;T17UP9;T17X6I;T18DUA;T18SEF;T19CUN;T19JEU;T19Z2N;T20JZ2;T20NCI;T20RA0;T20TPU;T21DZX;T21EGX;T21Q0D;T21S10;T21YK3;T22H7B;T22I6G;T22IMH;T22JG3;T22OPB;T23KDW;T23LHE;T23P74;T23RWU;T23VMI;T23WMS;T24C0P;T24LWC;T24LXT;T24U57;T24VJT;T25H22;T25M2J;T25NSJ;T25S1M;T25SPW;T25UYT;T26EZU;T26KIE;T26UZV;T27LA6;T27LTU;T28EY5;T28HOM;T29B10;T29JA7;T29MD1;T30L86;T30NJL;T30VNV;T31EJG;T31G6V;T31JWV;T31P1D;T31RKU;T31SX8;T31U13;T32PI2;T32R5L;T33BF9;T33JS5;T33OPP;T34DZ7;T34HYH;T34Y7V;T35LKG;T35QZO;T36SOV;T37ADS;T37VLU;T38BR0;T38EQ6;T38K2W;T38N69;T38O11;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39M81;T40DIM;T40G6B;T40JZG;T40XWM;T41BXR;T41DXP;T41INV;T41TXS;T42D4V;T42EAZ;T42K6K;T42PUG;T42XY2;T43G0N;T43HES;T43LYL;T43N2D;T44LWL;T44S1A;T45G32;T45I46;T45X9Z;T46AQJ;T46J84;T46K2X;T47H3O;T47HTN;T47MPW;T47WT6;T48DAP;T48TW0;T48XM4;T49A2A;T49CBW;T49ORJ;T49PL1;T49TDM;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52RGZ;T52T5O;T53AOE;T53KY7;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T55EFK;T55IBP;T57GP2;T57HGP;T57L0X;T58D39;T58H37;T58J2Y;T59IKQ;T60B3R;T60GGR;T60KJ1;T60XJI;T60XS5;T61DYZ;T61J7T;T61OY3;T61QXV;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66NVP;T66WWM;T67CB6;T67HAF;T67JME;T67JR8;T67KTV;T67MQU;T67X1L;T67ZT3;T68AKE;T68BGR;T68DAN;T68HNO;T68NCI;T68OIU;T68SE0;T69NG6;T69RXK;T69X4A;T69XEM;T69XVX;T70HTD;T70LAB;T70NYW;T71BDH;T71GRQ;T71K92;T72BXP;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74QXI;T74UH3;T74V1Z;T75B9S;T75H3W;T75HMM;T75I26;T76B0A;T76CGR;T77M4W;T77PFO;T77TY2;T77UWH;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79A7K;T79KQO;T79UQC;T79VME;T79WXA;T80GUN;T80OJF;T80TUC;T81I4T;T81MSV;T82ALJ;T82JWE;T82P0Z;T82S6C;T83DDX;T83QHM;T83SXS;T83TMF;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87FX7;T87QUW;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88IXL;T88LSZ;T88MR0;T88TDZ;T89L4V;T89SY7;T89VFL;T90ORW;T90QV5;T90XMB;T90XYZ;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91RI2;T91T8I;T92AMR;T92BZ2;T92HNO;T92UBJ;T93NTV;T93SFQ;T93VFT;T93WZG;T93YV8;T94H37;T94S85;T94VM4;T94YOD;T95IYZ;T95K8Q;T96G89;T96OOK;T97ESI;T97FEF;T98FWP;T98QOA;T99XQ3,0;1;2;20;60;65;179,"0.0,0.0,0.0,1.0,0.0"
魔芋,C0026;C0119;C0149;C0156;C0199;C0207;C0262;C0352;C0374;C0420;C0476;C0548;C0914;C1162;C1203;C1258;C1270,T00CXT;T00EP2;T00H7Q;T00KKS;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02GD4;T02IOG;T02M5I;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T05PKX;T05RAA;T05WWN;T06ADX;T06IYF;T06MQM;T06PVX;T06RMZ;T07NML;T07TMB;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09KPZ;T09KQF;T10HL8;T10ICM;T10S5F;T11BI7;T11ZYR;T12PIB;T12T4H;T12WTT;T13KGH;T14JZK;T14LSK;T16A2X;T16DCZ;T16FZA;T16MRU;T16OQ5;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T19CUN;T19YQS;T20H9F;T20JZ2;T20TPU;T21DZX;T21S10;T22I6G;T22IMH;T22OPB;T22XGJ;T23KDW;T23LHE;T23OTN;T23P74;T23VMI;T23WMS;T24LXT;T24U57;T25H22;T25M2J;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LTU;T27U96;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T31ZFD;T32KN9;T32PI2;T32R5L;T33OPP;T34DZ7;T34FQX;T34HYH;T34Y7V;T35KD8;T35LKG;T35QZO;T36SOV;T37ADS;T37VLU;T37WQE;T38BR0;T38EQ6;T38K2W;T38O11;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39YUJ;T40DIM;T40JZG;T40LTN;T40NB1;T40XWM;T41BXR;T41DXP;T41INV;T41TXS;T42D4V;T42EAZ;T42PUG;T42XY2;T43G0N;T43GWF;T43LYL;T43N2D;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47HTN;T47MPW;T47WT6;T48DAP;T48XM4;T49ORJ;T49PL1;T49TDM;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52RGZ;T52T5O;T53AOE;T53ES3;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T55IBP;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60B3R;T60GGR;T60KJ1;T60XS5;T61DYZ;T61OY3;T61QXV;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66WWM;T67CB6;T67HAF;T67JME;T67JR8;T67KTV;T67MQU;T67X1L;T67ZT3;T68AKE;T68BGR;T68DAN;T68HNO;T68OIU;T68SE0;T68XO1;T68XXK;T69NG6;T69RXK;T69XVX;T70EJM;T70HTD;T70LAB;T70OGQ;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74QOR;T74QXI;T75B9S;T75H3W;T75HMM;T76CGR;T77FOL;T77M4W;T77TY2;T77UWH;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80DCQ;T80GUN;T80L9F;T80OJF;T80OPZ;T80TUC;T81I4T;T81MSV;T82ALJ;T82I7J;T82JWE;T82S6C;T83P5X;T83PO9;T83QHM;T83SXS;T83YZD;T84CEG;T84FSA;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88QQE;T88TDZ;T89L4V;T90ORW;T90QV5;T90XYZ;T90ZKN;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92UBJ;T92WFW;T93NTV;T93R42;T93SFQ;T93WZG;T94H37;T94S85;T94VM4;T94YOD;T95H9O;T95IYZ;T95K8Q;T96G89;T96N1K;T96OOK;T97ESI;T97FEF;T98FWP;T99XQ3,15;16;30;51;215,"1.0,0.0,0.0,1.0,0.0"
狗舌草,C0014;C0026;C0046;C0064;C0072;C0073;C0079;C0091;C0095;C0157;C0164;C0189;C0190;C0199;C0219;C0229;C0231;C0240;C0258;C0259;C0263;C0266;C0283;C0285;C0287;C0291;C0298;C0300;C0333;C0343;C0344;C0352;C0354;C0377;C0399;C0416;C0447;C0455;C0457;C0478;C0497;C0510;C0516;C0528;C0709;C0891;C0897;C0905;C0914;C0927;C1178;C1187;C1200;C1203;C1209;C1231;C1239;C1241;C1242;C1258,T00CXT;T00EP2;T00H7Q;T00KKS;T00RT4;T00T9M;T00YTT;T01CL0;T01E7W;T01FVG;T01IGB;T01JSX;T01QLH;T02DEN;T02H9U;T02IOG;T02JCT;T02M5I;T02P7Q;T02QBS;T02WMA;T02WX3;T02YLA;T03CZ8;T03G09;T03NWF;T03VS9;T03XRZ;T03YAI;T04H8Y;T04HXV;T04MBA;T04TWI;T04UTZ;T04V7K;T04WT7;T05O6O;T05PKX;T05RAA;T05WU9;T05WWN;T06ADX;T06IYF;T06MQM;T06MXL;T06PVX;T06Q1R;T06RMZ;T06VX0;T06VYG;T07NML;T07S0E;T07TMB;T07VJT;T07VO1;T07VV7;T08DOL;T08Q7W;T08SJX;T08UWG;T09AAD;T09DI4;T09GFP;T09H2Z;T09INZ;T09KPZ;T10HL8;T10I26;T10ICM;T10IWJ;T10S5F;T11BI7;T11GYO;T11OU8;T11ZYR;T12OUN;T12PIB;T12T4H;T13KGH;T13WH4;T14DX3;T14ENF;T14JSQ;T14JSX;T14JZK;T14LSK;T14W2H;T15M1G;T16A2X;T16MRJ;T16MRU;T16OQ5;T16Q09;T16UZ4;T17CNB;T17CZC;T17UP9;T18CUI;T18DUA;T18LX5;T18MOS;T19CUN;T19EKF;T19K8W;T19XSL;T20H9F;T20HY9;T20JZ2;T20RA0;T20TB8;T20TPU;T20VPX;T21DZX;T21Q0D;T21S10;T21UJU;T22H8P;T22I6G;T22IMH;T22J9V;T22NX4;T22OPB;T23APZ;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T23YZF;T24C0P;T24LXT;T24U57;T24YWQ;T25H22;T25M2J;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LA6;T27LTU;T28EY5;T28PHS;T29B10;T29JA7;T29MD1;T29TYJ;T30L86;T30VNV;T30W5B;T31G6V;T31JWV;T31MUM;T31RKU;T31SX8;T31U13;T32ECR;T32HPO;T32PI2;T32R5L;T32UNL;T32W5X;T33OPP;T33OSQ;T34DZ7;T34HYH;T34Y7V;T35LKG;T35QZO;T36NQ9;T36SOV;T37ADS;T37BP1;T37G49;T37JN5;T37SV3;T37VLU;T37WY2;T38BR0;T38EQ6;T38J3Y;T38JX9;T38K2W;T38N69;T38O11;T38OQ4;T38T1U;T38WWN;T39FBA;T39M6J;T39RV3;T39YFG;T40B7E;T40DIM;T40EUL;T40JZG;T40XWM;T41BXR;T41DXP;T41INV;T41SFE;T41TXS;T42D4V;T42EAZ;T42HHN;T42PUG;T42XY2;T43FA8;T43G0N;T43GWF;T43LYL;T43N2D;T43NBB;T44KU9;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47HTN;T47WT6;T48DAP;T48TW0;T48UT8;T48XM4;T48YPL;T49J7I;T49ORJ;T49PL1;T49TDM;T49XOZ;T50GQE;T50S1H;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51EKP;T51IKV;T51K6D;T51U9M;T51WGR;T52CKD;T52RGZ;T52T5O;T52VL6;T53AOE;T53SLQ;T54CIF;T54G8J;T54N7G;T54OSZ;T54RF5;T54SZZ;T54VET;T54VQA;T54WR0;T54X6V;T55EFK;T55IBP;T56OUM;T56TXY;T57GP2;T57HGP;T57L0X;T58FWN;T58J2Y;T58XLK;T59EAH;T59IKQ;T60B3R;T60GGR;T60KJ1;T60LKM;T60UPF;T60XS5;T61DYZ;T61OY3;T61QXV;T61SU2;T62ERY;T62P0D;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63DP6;T63FF5;T63FNY;T63GUB;T63YAO;T64BPL;T64BTV;T64P00;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66S13;T66WWM;T67CB6;T67HAF;T67HYX;T67JME;T67JR8;T67KTV;T67LRH;T67MQU;T67RBZ;T67X1L;T67ZT3;T68AKE;T68B5V;T68BGR;T68CKY;T68DAN;T68EEP;T68HNO;T68IZC;T68OIU;T68SE0;T69DAO;T69ESY;T69H7G;T69NG6;T69RXK;T69XVX;T70HC9;T70HTD;T70KPE;T70LAB;T70U24;T70YKV;T71BDH;T71GRQ;T71K92;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74QXI;T74V1Z;T74WWP;T75B9S;T75EH8;T75H3W;T75HMM;T76AZQ;T76CGR;T76QBQ;T76TED;T77FOL;T77M4W;T77PFO;T77TY2;T77UWH;T77W6N;T78C6N;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80DCQ;T80GUN;T80OJF;T80TUC;T80WPU;T80XW6;T81BH5;T81I4T;T81MSV;T82ALJ;T82I7J;T82JWE;T82S6C;T83DDX;T83P5X;T83QHM;T83SXS;T83VW4;T83YZD;T84CEG;T84FSA;T84P70;T84TJB;T84VZG;T84W8G;T85AXP;T85JI5;T85S9Z;T85U8U;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87DGB;T87QUW;T87UKX;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88TDZ;T89L4V;T90ADC;T90ORW;T90QV5;T90XYZ;T90ZS8;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92Q77;T92UBJ;T92UWJ;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T93YV8;T94H37;T94S85;T94VM4;T94YOD;T95A39;T95IYZ;T95K8Q;T96G89;T96OOK;T97ESI;T97FEF;T98DNG;T98FWP;T99ARN;T99XQ3,3;8;20;22;160;290,"0.0,0.0,0.0,1.0,0.0"
川芎,C0073;C0087;C0186;C0188;C0189;C0219;C0258;C0263;C0285;C0333;C0447;C0479;C0489;C0523;C0528;C0548;C0562;C0573;C0583;C0598;C0610;C0677;C0732;C1203;C1231;C1240;C1247,T00CXT;T02DEN;T02H9U;T02QBS;T02YLA;T03NWF;T06RMZ;T06VX0;T07NML;T07S0E;T07VV7;T08Q7W;T08QRJ;T08SJX;T09GFP;T09H2Z;T09INZ;T10HL8;T11BI7;T11GHO;T11ZYR;T12PIB;T12T4H;T14JSX;T17UP9;T18CUI;T18LX5;T19EKF;T19K8W;T19XSL;T20H9F;T21DZX;T21Q0D;T22NX4;T22OPB;T23APZ;T23IBY;T23VMI;T23XR4;T23YZF;T24RSX;T24V8E;T24YWQ;T25H22;T25NSJ;T25Y64;T26KIE;T27BN7;T29MD1;T29TYJ;T30VNV;T31EJG;T31U13;T32HPO;T33OPP;T34HYH;T34I45;T35QZO;T36SOV;T37G49;T37JN5;T38J3Y;T38K2W;T38OQ4;T38WWN;T39RV3;T39YFG;T42D4V;T42EAZ;T43NBB;T44LWL;T46YMA;T48UT8;T48YPL;T49ORJ;T49TDM;T51EKP;T51WGR;T52VL6;T53SLQ;T53YWQ;T54B00;T54CIF;T54WR0;T54X6V;T56OUM;T56TXY;T58J2Y;T60UPF;T62ERY;T62P0D;T63BQU;T63GUB;T64BTV;T66S13;T67HYX;T67KTV;T67LRH;T67RBZ;T67ZT3;T68BGR;T68IZC;T68SE0;T69NG6;T69RXK;T70KPE;T70SFS;T71K92;T72U9G;T74LFK;T74WWP;T75EH8;T76AZQ;T76QBQ;T76TED;T77FOL;T78ILO;T79WXA;T80TUC;T80WPU;T81I4T;T82D6U;T83QHM;T83YZD;T85AXP;T86ROZ;T88AJI;T88QQE;T88TDZ;T89L4V;T90XYZ;T91T8I;T92BZ2;T93R42;T93VFT;T95EK6;T98DNG;T98QOA;T99XQ3,0;4;11;21;60,"0.0,0.0,0.0,1.0,0.0"
防己,C0070;C0071;C0162;C0286;C0538;C0863;C0921;C1178;C1205,T00CXT;T00T99;T02QBS;T06MQM;T06Q1R;T07TMB;T08Q1T;T08Q7W;T12T4H;T13I7C;T13KGH;T14ENF;T19CTK;T20NCI;T20P3F;T20RA0;T21CMG;T21DZX;T22Y9W;T23B68;T23P74;T23TJV;T23VMI;T23XLR;T24D36;T26KIE;T27J4O;T28HOM;T29GRI;T30TYH;T32PI2;T33JS5;T33OPP;T34DZ7;T35LKG;T36PZ1;T37ADS;T37VLU;T38T1U;T40DIM;T40LTN;T41BXR;T41BYM;T42EAZ;T42PUG;T44LWL;T45B9P;T45LZI;T47G3X;T48ZIG;T49UAP;T50SJ8;T50WOV;T52FON;T53AOE;T55EFK;T56RMM;T58CAO;T60DN8;T63FRM;T63GUB;T64SK3;T64W2K;T66A7X;T67OMA;T67ZT3;T68SE0;T71K92;T73LNN;T74QXI;T74RBE;T75H3W;T76SUY;T77M4W;T78C6N;T78ZF2;T79WXA;T80TUC;T81I4T;T82G3R;T82JWE;T82SDM;T83YZD;T84ELW;T84VZG;T84XW5;T85CC2;T85U8U;T87C4J;T87N33;T88TDZ;T89L4V;T92BZ2;T92E71;T93VFT;T95IYZ;T98OJA;T98RXH,12;15;16;229,"0.0,0.0,0.0,1.0,0.0"
羊踯躅根,C0026;C0090;C0101;C0133;C0151;C0156;C0510;C0935;C1220;C1241,T00EP2;T00F43;T00H7Q;T01QLH;T02GD4;T02IOG;T02P7Q;T02QBS;T03CZ8;T03G09;T03TJ0;T03VS9;T04A2Q;T04H8Y;T04WT7;T05O6O;T05WU9;T06PVX;T06RMZ;T06VX0;T07TMB;T07TRP;T08B2M;T08Q7W;T09H2Z;T09HVO;T10HL8;T10S5F;T12BGL;T12PIB;T13I7C;T15RPU;T16A2X;T16S8T;T16UZ4;T17UP9;T17X6I;T19JEU;T19Z2N;T20IHC;T20JZ2;T20NCI;T21DZX;T21Q0D;T21YK3;T22OPB;T23P74;T23VMI;T24LWC;T24LXT;T24U57;T24VJT;T25NSJ;T25SPW;T25UYT;T26EZU;T26KIE;T26UZV;T27LA6;T27U96;T28EY5;T30D9G;T30NJL;T31P1D;T31SX8;T31VDH;T32SPJ;T33BF9;T33JS5;T33OPP;T33UEM;T35QZO;T38K2W;T38N69;T38T1U;T39M81;T40DIM;T40G6B;T42EAZ;T42K6K;T42XY2;T43GWF;T43N2D;T44LWL;T44S1A;T45G32;T46AQJ;T49A2A;T49CBW;T49ORJ;T49PL1;T49TDM;T49XOZ;T50WOV;T53AOE;T53KY7;T53RK9;T54CIF;T54G8J;T54VQA;T56TXY;T58J2Y;T59IKQ;T61OY3;T63BQU;T63GUB;T64BTV;T64UH1;T64W2K;T67HAF;T67ZT3;T68BGR;T68DAN;T68NCI;T69XEM;T70NYW;T70SFS;T71K92;T72BXP;T74JJN;T74V1Z;T75H3W;T75I26;T76B0A;T77PFO;T77TY2;T78VUO;T79A7K;T79WXA;T80GUN;T80TUC;T81BH5;T81I4T;T82JWE;T82S6C;T83YZD;T84FSA;T84P70;T85U8U;T86ROZ;T86UXL;T88AJI;T88MR0;T88TDZ;T89SY7;T89VFL;T91MKC;T92Q77;T93SFQ;T93WZG;T93YV8;T96OOK;T97FEF;T97KL5;T98QOA;T98RXH;T99EYH;T99W15,0;3;5;10;16;22;63;72,"0.0,0.0,0.0,1.0,0.0"
山豆根,C0627;C0646;C0929;C1278,T01QLH;T03VS9;T04AHN;T05O6O;T07NZK;T08Q7W;T09H2Z;T09KPZ;T09TS5;T10HL8;T11GHO;T12EWD;T12PIB;T12T4H;T15JRW;T16A2X;T16IWB;T21EGX;T22MME;T23VMI;T25M2J;T26KIE;T28B0B;T28HOM;T29CYD;T29GH0;T29MD1;T30V3R;T32OC4;T33OPP;T34AYH;T35FQV;T35QZO;T36I66;T39M81;T40JZG;T41SFE;T42EAZ;T42XY2;T43HES;T43N2D;T44LWL;T44WZO;T45X9Z;T46HRF;T49PL1;T49TDM;T50SX0;T50V79;T50WUM;T53AOE;T53GFX;T53KY7;T53QOD;T54G8J;T57HGP;T57R3V;T59IKQ;T63BQU;T63GUB;T63SUZ;T63YAO;T64BTV;T64UH1;T64W2K;T67CB6;T67HAF;T67ZT3;T69RXK;T70SFS;T71K92;T73LPO;T73S71;T74ETU;T80GUN;T80TUC;T82I76;T82JWE;T82S9G;T84W8G;T85AXP;T85U8U;T87FX7;T88IXL;T88TDZ;T90ZS8;T91W8B;T93WZG;T95IYZ;T96OOK;T98JPP,1;3;4;5;8;10;13;211,"1.0,1.0,1.0,0.0,0.0"
寻骨风,C0871,T53G91,15;20;82;271;272,"1.0,1.0,1.0,0.0,0.0"
胡芦巴,C0665;C0891,T05WU9;T06RMZ;T25NSJ;T30D9G;T58J2Y,4;10;11;13;42;293,"0.0,1.0,0.0,0.0,0.0"
肉桂,C0045;C0188;C0333;C0419;C0532;C1242;C1243;C1259,T02HSM;T02QBS;T08Q7W;T09GFP;T09INZ;T10I26;T11BI7;T12BGL;T12WTT;T13I7C;T13KGH;T17CZC;T22OPB;T25H22;T25UYT;T26EZU;T28DIY;T28K6X;T33OPP;T36I66;T36YWU;T39RV3;T40EUL;T44LWL;T45WII;T46AQJ;T48J1U;T49ORJ;T50GQE;T50V79;T53QS9;T53YWQ;T56MD7;T58XLK;T62F1Y;T63FF5;T64UWL;T67KTV;T70HTD;T70SFS;T71BDH;T71K92;T74I49;T75IW3;T77W6N;T78ZF2;T79KQO;T80TUC;T83YZD;T85AXP;T85U8U;T86YQL;T87DEX;T88TDZ,0;4;8;10;13;42;212,"1.0,0.0,0.0,0.0,0.0"
木鳖子,C0107;C0200;C1177;C1178,T02QBS;T06RMZ;T08Q7W;T14ENF;T17CZC;T18YXD;T23P74;T23VMI;T25NSJ;T26EZU;T33KFW;T34X07;T38T1U;T42EAZ;T45XTW;T47FOG;T50SJ8;T53AOE;T63YAO;T71K92;T76B0A;T78ZF2;T79WXA;T80GUN;T80OJF;T80PUR;T80TUC;T82ALJ;T83TMF;T85AXP;T85U8U;T86ROZ;T88TDZ;T92BZ2;T93VFT;T95H9O,4;15;26;40;51;210,"0.0,0.0,0.0,1.0,0.0"
望江南,C0014;C0063;C0291;C0419;C0504;C0523;C0564;C0603;C0752;C1258,T01QLH;T02QBS;T04H8Y;T05O6O;T05PKX;T06RMZ;T08Q7W;T09H2Z;T09INZ;T09KPZ;T12WTT;T13I7C;T13KGH;T23P74;T23VMI;T25NSJ;T26EZU;T28DIY;T30VNV;T32UNL;T33OPP;T36I66;T41INV;T42HHN;T43NBB;T45WII;T49TDM;T50GQE;T50V79;T50VJF;T53YWQ;T58XLK;T60XJI;T64BTV;T64UH1;T67KTV;T70HTD;T71K92;T74I49;T77M4W;T79WXA;T80TUC;T82I7J;T82JWE;T83YZD;T84W8G;T85AXP;T85S9Z;T85U8U;T86YQL;T88AJI;T88TDZ;T89L4V;T90ADC;T94S85;T95LIF,3;4;8;13;83;285;296,"0.0,0.0,0.0,1.0,0.0"
狼毒,C0154;C1284,T56RMM,4;24;60,"1.0,0.0,0.0,1.0,0.0"
